taxon_oid	Domain	Status	Genome Name	Taxon Object ID	NCBI Taxon ID	RefSeq Project ID	GenBank Project ID	Phylum	Class	Order	Family	Genus	Species	Strain	Sequencing Center	Funding Agency	Add Date	Is Public	Release Date	IMG Release	IMG Product Assignment	IMG Submission ID	Proposal GOLD ID	Proposal Name	Biotic Relationships	Body Site	Body Subsite	Cell Arrangement	Cell Shape	Diseases	Energy Source	Ecosystem	Ecosystem Category	Ecosystem Type	Ecosystem Subtype	Isolation	Specific Ecosystem	Gram Staining	Host Name	Host Gender	Motility	Metabolism	Oxygen Requirement	Phenotype	Relevance	Salinity	Sporulation	Temperature Range	IMG Sample ID	IMG Project ID	Contact Name	Contact Email	Funding Program	Scaffold Count	CRISPR Count	GC Count	GC %	Coding Base Count	Genome Size	Gene Count	CDS Count	CDS %	RNA Count	rRNA Count	5S rRNA Count	16S rRNA Count	18S rRNA Count	23S rRNA Count	28S rRNA Count	tRNA Count	Other RNA Count	Fused Count	Fused %	Fusion Component Count	Fusion component %	Pseudo Genes Count	Pseudo Genes %	Unchar Count	Unchar %	Obsolete Count	Obsolete %	Revised Count	Revised %	w/ Func Pred Count	w/ Func Pred %	w/o Func Pred Sim Count	w/o Func Pred Sim %	w/o Func Pred No Sim Count	w/o Func Pred No Sim %	Signal Peptide Count	Signal Peptide %	Transmembrane Count	Transmembrane %	Orthologs Count	Orthologs %`	Paralogs Count	Paralogs %	Ortholog Group Count	Paralog Group Count	SwissProt Count	SwissProt %	Not SwissProt Count	Not SwissProt %	SEED Count	SEED %	Not SEED Count	Not SEED %	COG Count	COG %	KOG Count	KOG %	Pfam Count	Pfam %	TIGRfam Count	TIGRfam %	COG Cluster Count	KOG Cluster Count	Pfam Cluster Count	TIGRfam Cluster Count	InterPro Count	InterPro %	Enzyme Count	Enzyme %	TC Count	TC %	KEGG Count	KEGG %	Not KEGG Count	Not KEGG %	KO Count	KO %	Not KO Count	Not KO %	MetaCyc Count	MetaCyc %	Not MetaCyc Count	Not MetaCyc %	IMG Term Count	IMG Term %	IMG Pathwawy Count	IMG Pathway %	IMG Parts List Count	IMG Parts List %	Chromosomal Cassette Gene Count	Chromosomal Cassette Gene %	Chromosomal Cassette Count
651324018	Archaea	Draft	Candidatus Nitrosoarchaeum limnia SFB1	651324018	886738	66129	52465	Crenarchaeota	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosoarchaeum	Nitrosoarchaeum	limnia SFB1	Stanford Univ		2011-08-22	Yes	2011-12-01	IMG/W 3.5			Gi07680	Candidatus Nitrosoarchaeum limnia SFB1	_	_	_	_	_	_	_	_	_	_	_	Ammonia-oxidizer enrichment cultures were initiated from sediments collected in northern part of the San Francisco Bay estuary in 2006	_	_	_	_	_	Ammonia-oxidizer	_	_	Biochemical,  Environmental	_	_	_	_	1195	Quake SR.	quake@stanford.edu	_	76		565882	0.32	1478726	1743235	2088	2038	97.61	50	4	1	1		1		45	1	18	0.86											1118	53.54	767	36.73	153	7.33	431	20.64	429	20.55	1882	90.13	92	4.41	1863				2038	97.61			2038	97.61	1297	62.12	666	31.9	1252	59.96	433	20.74	903	485	933	417	1651	79.07	494	23.66			591	28.3	1447	69.3	859	41.14	1179	56.47	476	22.8	1562	74.81	291	13.94	136	6.51	109	5.22			
641522613	Archaea	Finished	Cenarchaeum symbiosum A	641522613	414004	202	202	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	symbiosum	A	DOE Joint Genome Institute		2008-05-30	Yes	2008-08-01	IMG/W 2.6			Gi10744	Cenarchaeum symbiosum	Symbiotic	_	_	_	Rod-shaped	None	_	Host-associated	_	_	_	0-20 meters below sea level off the coast of Santa Barbara	_	Gram-	Axinella mexicana, marine sponge	_	_	_	Aerobe	Symbiont	Evolutionary	_	Nonsporulating	Psychrophile	_	10192	Delong, Edward F	delong@mit.edu	DOE-WFO 2005	1		1173335	0.57	1874779	2045085	2066	2017	97.63	49	3	1	1		1		45	1	48	2.32	421	20.38									1008	48.79	865	41.87	144	6.97	299	14.47	354	17.13	1395	67.52	266	12.88	1300	99			2017	97.63			2017	97.63	1008	48.79	586	28.36	1023	49.52	407	19.7	794	474	845	396	1177	56.97	452	21.88			528	25.56	1489	72.07	772	37.37	1245	60.26	440	21.3	1577	76.33	403	19.51	171	8.28	137	6.63	2066	100	97
643348540	Archaea	Finished	Desulfurococcus kamchatkensis 1221n	643348540	490899	59133	28141	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	kamchatkensis	1221n	Center of Bioengineering		2009-02-11	Yes	2009-04-01	IMG/W 2.8			Gc00873	Desulfurococcus kamchatkensis 1221n	Free living	_	_	_	Coccus-shaped	None	Organotroph	_	_	_	_	Sediments of Treshchinny Spring (Uzon Caldera, Kamchatka, Russia)	_	Gram-	_	_	Nonmotile	_	Obligate anaerobe	_	Biotechnological	_	_	Hyperthermophile	_	13638	Bonch-Osmolovskaya EA	elizaveta.bo@gmail.com	_	1	2	618980	0.45	1210820	1365223	1521	1471	96.71	50	3	1	1		1		47		63	4.14	385	25.31							2		1019	67	385	25.31	67	4.4	108	7.1	298	19.59	1215	79.88	101	6.64	1203	38	45	2.96	1426	93.75	1008	66.27	463	30.44	1007	66.21	541	35.57	1002	65.88	380	24.98	790	414	793	347	1101	72.39	366	24.06			447	29.39	1024	67.32	783	51.48	688	45.23	353	23.21	1118	73.5	377	24.79	115	7.56	151	9.93	1519	99.87	121
649633040	Archaea	Finished	Desulfurococcus mucosus 07/1, DSM 2162	649633040	765177	62227	48641	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	mucosus	DSM 2162	DOE Joint Genome Institute		2011-03-26	Yes	2011-07-01	IMG/W 3.4			Gc01595	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Free living	_	_	_	Sphere-shaped	None	Organotroph	_	_	_	_	Hot solfataric spring; Iceland	_	Gram-	_	_	Nonmotile	Sulfur respiration	Anaerobe	_	Biotechnological,  GEBA,  Tree of Life	_	Nonsporulating	Hyperthermophile	_	13494	Eisen, Jonathan 	jaeisen@ucdavis.edu	DOE-GEBA 2007	1	3	698621	0.53	1186786	1314639	1421	1371	96.48	50	3	1	1		1		46	1	48	3.38			26	1.83							934	65.73	405	28.5	32	2.25	323	22.73	294	20.69	1188	83.6	28	1.97	1183	10			1371	96.48			1371	96.48	1075	75.65	541	38.07	1010	71.08	346	24.35	799	418	770	329	1250	87.97	340	23.93			428	30.12	943	66.36	761	53.55	610	42.93	327	23.01	1044	73.47	212	14.92	63	4.43	82	5.77	1395	98.17	72
646564534	Archaea	Finished	Ferroglobus placidus AEDII12DO, DSM 10642	646564534	589924	40863	33635	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	placidus	DSM 10642	DOE Joint Genome Institute		2010-06-24	Yes	2010-08-01	IMG/W 3.2			Gc01209	Comparative genomics of the Archaea	Free living	_	_	_	Coccus-shaped	None	Chemolithotroph,  Chemoorganotroph	_	_	_	_	Hallow submarine hydrothermal system at Vulcano Italy	_	Gram-	_	_	Motile	Iron oxidizer	Anaerobe	_	Tree of Life	_	Nonsporulating	Hyperthermophile	_	12209	Kyrpides, Nikos 	nckyrpides@lbl.gov	DOE-LSP 2007	1	6	969331	0.44	1996425	2196266	2622	2567	97.9	55	3	1	1		1		50	2	117	4.46	863	32.91	87	3.32					1		1619	61.75	781	29.79	167	6.37	269	10.26	502	19.15	2107	80.36	350	13.35	2051	133	3	0.11	2564	97.79			2567	97.9	1820	69.41	793	30.24	1889	72.04	679	25.9	1221	536	1195	623	2079	79.29	639	24.37			723	27.57	1844	70.33	1279	48.78	1288	49.12	603	23	1964	74.9	609	23.23	206	7.86	183	6.98	2534	96.64	143
638341092	Archaea	Draft	Ferroplasma acidarmanus Fer1	638341092	333146	54095	239	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	acidarmanus	Fer1	DOE Joint Genome Institute	DOE	2006-10-02	Yes	2006-12-01	IMG/W 2.0			Gi00249	Ferroplasma acidarmanus fer1	Free living	_	_	_	Rod-shaped	None	_	Environmental	Aquatic	Freshwater	Groundwater	5-way CG region of Richmond Mine at Iron Mountain, CA	Unclassified	Gram-	_	_	Nonmotile	_	Facultative	Acidophile	Bioremediation,  Environmental,  Biotechnological,  Ecological	_	_	Mesophile	_	12194,  18566	Banfield, Jill ,  Tringe SG	jill@seismo.berkeley.edu,  sgtringe@lbl.gov	DOEM 2001	61		685803	0.37	1582302	1865438	1742	1695	97.3	47	3	1	1		1		44		104	5.97											1153	66.19	542	31.11			122	7	359	20.61	1506	86.45	212	12.17	1452	87			1695	97.3	1627	93.4	68	3.9	1313	75.37	767	44.03	1335	76.64	450	25.83	910	531	924	448	1572	90.24	592	33.98			615	35.3	1080	62	973	55.86	722	41.45	570	32.72	1125	64.58	576	33.07	237	13.61	167	9.59	1742	100	221
649989953	Archaea	Draft	Haladaptatus paucihalophilus DX253	649989953	797209	62523	50445	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	paucihalophilus	DX253	Oklahoma State University		2011-03-26	Yes	2011-07-01	IMG/W 3.4			Gi07306	Haladaptatus paucihalophilus DX253	_	_	_	Clusters	Coccus-shaped	None	Chemoorganotroph	_	_	_	_	Low-salt, sulfide- and sulfur-rich spring (Zodletone Spring) in south-western Oklahoma, USA	_	Gram-	_	_	_	_	Aerobe	_	Biotechnological	Halophile	_	Mesophile	_	17533	Elshahed,M.S.	_	_	32	1	2648659	0.62	3649979	4284805	4496	4443	98.82	53	6	2	3		1		47		246	5.47									1		2528	56.23	1379	30.67	536	11.92	1106	24.6	1111	24.71	3553	79.03	266	5.92	3427	98			4443	98.82			4443	98.82	2986	66.41	1391	30.94	2862	63.66	834	18.55	1401	708	1373	630	3785	84.19	872	19.4			1045	23.24	3398	75.58	1717	38.19	2726	60.63	848	18.86	3595	79.96	766	17.04	270	6.01	255	5.67	4495	99.98	445
648028029	Archaea	Finished	Halalkalicoccus jeotgali B3, DSM 18796	648028029	795797	50305	49517	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	jeotgali	B3	Kyung Hee University		2010-10-29	Yes	2011-01-01	IMG/W 3.3			Gc01320	Halalkalicoccus jeotgali B3, DSM 18796	Symbiotic	_	_	_	Coccus-shaped	_	_	Host-associated	_	_	_	salt-fermented seafood from South Korea	_	_	Shrimp	_	Nonmotile	_	_	_	Fish Pathogen	Halophile	_	Mesophile	_	17274	Jin-Woo Bae	baejw@khu.ac.kr	_	7		2312418	0.63	3109753	3698637	3925	3873	98.68	52	3	1	1		1		49		196	4.99	1345	34.27									2204	56.15	1354	34.5	315	8.03	812	20.69	870	22.17	3146	80.15	979	24.94	3062	391	1	0.03	3872	98.65			3873	98.68	2373	60.46	1213	30.9	2488	63.39	730	18.6	1262	657	1280	592	2767	70.5	817	20.82			929	23.67	2944	75.01	1517	38.65	2356	60.03	798	20.33	3075	78.34	699	17.81	251	6.39	238	6.06	3925	100	329
638154503	Archaea	Finished	Haloarcula marismortui ATCC 43049	638154503	272569	57719	105	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	marismortui	ATCC 43049	Institute for Systems Biology	NSF, DOE	2006-10-02	Yes	2006-12-01	IMG/W 2.0			Gc00231	Haloarcula marismortui ATCC 43049	Free living	_	_	Singles	Pleomorphic-shaped	None	Chemoorganotroph	_	_	_	_	Dead Sea	_	Gram-	_	_	Motile	_	Aerobe	Proteolytic	Biotechnological	Halophile	Nonsporulating	Mesophile	_	10455	Baliga NS	nbaliga@systemsbiology.org	_	9	5	2612610	0.61	3668819	4274642	4387	4325	98.59	62	10	4	3		3		50	2	291	6.63	1756	40.03	34	0.78			23	1	385	9	2241	51.08	2005	45.7	79	1.8	561	12.79	881	20.08	3534	80.56	1003	22.86	3423	386	111	2.53	4214	96.06	3434	78.28	891	20.31	2642	60.22	1269	28.93	2740	62.46	848	19.33	1328	664	1330	633	3126	71.26	863	19.67			1013	23.09	3312	75.5	1709	38.96	2616	59.63	836	19.06	3489	79.53	959	21.86	313	7.13	309	7.04	4325	98.59	404
641522631	Archaea	Finished	Halobacterium salinarum R1, DSM 671	641522631	478009	61571	106	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	salinarum	R1	Max Planck Institute		2008-05-30	Yes	2008-08-01	IMG/W 2.6			Gc00726	Halobacterium salinarum R1, DSM 671	Free living	_	_	_	Rod-shaped	None	Chemoorganotroph	_	_	_	_	_	_	Gram-	_	_	Motile	_	Obligate aerobe	_	Biotechnological	Halophile	Nonsporulating	Thermophile	_	12195	Pfeiffer F	fpf@biochem.mpg.de	_	5		1753668	0.66	2339013	2668776	2801	2749	98.14	52	3	1	1		1		47	2	154	5.5	952	33.99									1432	51.12	1294	46.2	23	0.82	340	12.14	584	20.85	2525	90.15	628	22.42	2482	236	244	8.71	2505	89.43	2107	75.22	642	22.92	1806	64.48	874	31.2	1794	64.05	612	21.85	1122	565	1121	528	2039	72.8	578	20.64			706	25.21	2043	72.94	1238	44.2	1511	53.95	560	19.99	2189	78.15	636	22.71	237	8.46	219	7.82	2801	100	178
638154504	Archaea	Finished	Halobacterium sp. NRC-1	638154504	64091	57769	217	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	sp.	NRC-1	Univ of Massachusetts, Univ of Washington- Seattle	NSF	2006-10-02	Yes	2006-12-01	IMG/W 2.0			Gc00039	Halobacterium sp. NRC-1	Free living	_	_	_	Rod-shaped	None	Chemoorganotroph	_	_	_	_	_	_	Gram-	_	_	Motile	_	Aerobe	_	Biotechnological	Halophile	Nonsporulating	Mesophile	_	10647	DasSarma S	dassarma@microbio.umass.edu	_	3		1695157	0.66	2225589	2571010	2728	2675	98.06	53	4	1	1		1		47	2	163	5.98	1011	37.06	31	1.14					326	12	2213	81.12	455	16.68	7	0.26	329	12.06	547	20.05	2468	90.47	616	22.58	2300	215	185	6.78	2490	91.28	2379	87.21	296	10.85	1812	66.42	879	32.22	1802	66.06	606	22.21	1116	563	1112	526	2066	75.73	593	21.74			724	26.54	1951	71.52	1278	46.85	1397	51.21	575	21.08	2100	76.98	672	24.63	245	8.98	235	8.61	2675	98.06	198
